Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,21.070000,21.264000,17.316000,18.197001,12.335160,6800
2023-01-01,17.760000,19.759001,17.760000,19.138000,12.973032,11600
2023-02-01,19.125999,20.690001,16.309999,17.056000,12.042212,211900
2023-03-01,17.062000,17.520000,14.510000,16.580000,12.380362,762300
2023-04-01,16.590000,16.590000,14.410000,14.780000,11.561538,905900
2023-05-01,14.820000,16.304001,14.390000,16.240000,13.126238,1027200
2023-06-01,16.240000,16.990000,15.917000,16.840000,13.956082,1779900
2023-07-01,17.030001,17.650000,16.010000,17.650000,15.091005,2958800
2023-08-01,17.549999,17.570000,13.590000,14.900000,13.179837,4749300
2023-09-01,14.960000,15.070000,13.040000,13.590000,12.538663,3851400
2023-10-01,13.610000,13.620000,11.610000,12.050000,11.394300,2928500
2023-11-01,12.150000,12.865000,11.890000,12.620000,12.242579,1526000
