Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,21.559999,21.763000,13.316000,14.626000,8.344820,5100
2023-01-01,13.395000,16.360001,13.300000,15.631000,8.918220,68200
2023-02-01,15.770000,18.120001,15.701000,17.716999,10.847693,494800
2023-03-01,17.920000,17.940001,14.100000,17.250000,11.154175,1856200
2023-04-01,17.000000,17.000000,12.530000,13.370000,9.140879,4634600
2023-05-01,13.470000,15.460000,13.100000,15.450000,11.149816,5737800
2023-06-01,15.590000,17.600000,15.330000,17.150000,12.796529,11759500
2023-07-01,17.990000,18.480000,16.250000,17.049999,13.387125,24972400
2023-08-01,17.049999,17.049999,13.165000,14.620000,12.191270,53319100
2023-09-01,14.670000,14.830000,12.855000,13.680000,12.005921,59154300
2023-10-01,13.560000,14.380000,10.740000,11.110000,10.154818,79336300
2023-11-01,11.300000,12.360000,10.945000,11.300000,10.762124,52906200
